ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
239,a0e46fb1-bb59-45cc-b2ba-4644b0c4cd07,01/31/2024 03:46:05.289,kfh39602_USG,01/31/2024 03:46:05.289,kfh39602_USG,01/29/2024 22:29:50.381,"Eva_Kerr,Jade_Samples,Kristina_Hefferle_,Mia_Cinello-_Smith_",,Ceylon WMA,,D6,,D6004,Tortoise Burrow,,17,No,No,No,No,No,Water,Yes,,No,No,-81.63099178,30.95283016
240,c81220bb-ae98-498b-92e2-5e9757b42a6d,01/31/2024 16:23:21.932,ek30648_USG,01/31/2024 16:23:21.932,ek30648_USG,01/29/2024 22:35:39.557,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples,Mia_Cinello-_Smith_",,Ceylon WMA,,D6,,D6005,Tortoise Burrow,,20,No,No,No,No,Yes,I think I see a porch so we should trap this burrow ,Yes,,No,No,-81.63114926,30.95248877
241,6a3e7f18-58fa-425f-96fb-fda3a1796ee4,01/31/2024 16:23:22.991,ek30648_USG,01/31/2024 16:23:22.991,ek30648_USG,01/29/2024 22:40:32.453,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples,Mia_Cinello-_Smith_",,Ceylon WMA,,D6,,D6006,Tortoise Burrow,,15,No,No,Yes,No,Yes,,Yes,,No,No,-81.6306705,30.95311002
242,96eff040-41aa-4e4a-bbee-79a60f6b36ed,02/06/2024 23:07:19.582,ek30648_USG,02/06/2024 23:07:19.582,ek30648_USG,02/06/2024 18:58:59.515,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6067,Tortoise Burrow,,23,No,No,No,No,Yes,,Yes,,No,No,-81.62832209,30.95407483
243,16c0f859-227b-4ef6-9a79-2cd92a0bffa8,02/06/2024 23:07:20.344,ek30648_USG,02/06/2024 23:07:20.344,ek30648_USG,02/06/2024 19:05:10.502,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6068,Tortoise Burrow,,22,No,No,No,No,Yes,,Yes,,No,No,-81.62810443,30.95400808
244,7f19f983-e33d-4a57-8120-e701a33a92a3,02/06/2024 23:07:20.797,ek30648_USG,02/06/2024 23:07:20.797,ek30648_USG,02/06/2024 19:08:53.612,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6069,Tortoise Burrow,,15,No,No,No,No,Yes,,Yes,,No,No,-81.62808944,30.95405659
245,ddd2d60d-011c-4a87-843b-797674b31ef5,02/06/2024 23:07:21.299,ek30648_USG,02/06/2024 23:07:21.299,ek30648_USG,02/06/2024 19:10:00.517,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6070,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,No,No,-81.62801306,30.95409749
246,e0bd1ff0-36f0-4852-ad13-88ab910585a0,02/06/2024 23:07:21.959,ek30648_USG,02/06/2024 23:07:21.959,ek30648_USG,02/06/2024 19:14:19.875,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6071,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,No,No,-81.62817209,30.95385838
247,06a22004-1d13-4109-890c-7cb6a3a18ee8,02/06/2024 23:07:22.605,ek30648_USG,02/06/2024 23:07:22.605,ek30648_USG,02/06/2024 19:31:06.513,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6075,Tortoise Burrow,,15,No,No,Yes,No,Yes,,Yes,,No,No,-81.6276757,30.95412542
248,e6a38bf0-5e28-46bb-9ef3-15b5d8693f89,02/06/2024 23:07:23.354,ek30648_USG,02/06/2024 23:07:23.354,ek30648_USG,02/06/2024 19:32:15.437,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6076,Tortoise Burrow,,32,No,No,No,No,Yes,Mouse,Yes,,No,No,-81.62766062,30.95415398
