ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
342,0f0570db-9ac6-4bba-ac74-e98e57e60500,02/12/2024 18:52:36.687,kfh39602_USG,02/12/2024 18:52:36.687,kfh39602_USG,02/06/2024 19:40:27.340,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6078,Tortoise Burrow,,17,No,No,No,No,No,Full of leaves ,Yes,,No,No,-81.62801013,30.95416405
343,4aa24cdb-f04d-462e-8f6b-7ed507c7aa6c,02/12/2024 18:52:37.243,kfh39602_USG,02/12/2024 18:52:37.243,kfh39602_USG,02/06/2024 19:53:42.895,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E6,,E6080,Tortoise Burrow,,17,No,No,No,No,No,Collapsed ,Yes,,Yes,No,-81.62727281,30.95402754
344,e1ce1112-4347-4301-b637-1ac15a6d7a9f,02/12/2024 18:52:37.953,kfh39602_USG,02/12/2024 18:52:37.953,kfh39602_USG,02/06/2024 19:59:43.781,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E6,,E6081,Tortoise Burrow,,22,No,No,No,No,Yes,,Yes,,No,No,-81.62703567,30.95406814
345,b347b1b6-c932-4645-b96b-e3f6f6daf7c2,02/12/2024 18:52:38.696,kfh39602_USG,02/12/2024 18:52:38.696,kfh39602_USG,02/06/2024 20:06:20.617,Kristina_Hefferle_,,Ceylon WMA,,E6,,E6021,Tortoise Burrow,,23,Yes,No,No,No,No,Full of pine straw,Yes,,No,Yes,-81.62669024,30.95411526
346,0778773f-04aa-4bf3-a78f-63f1c33cd2d9,02/12/2024 18:52:39.269,kfh39602_USG,02/12/2024 18:52:39.269,kfh39602_USG,02/06/2024 20:16:52.592,Kristina_Hefferle_,,Ceylon WMA,,E6,,E6083,Tortoise Burrow,,29,No,No,No,No,Yes,,Yes,,Yes,No,-81.62641974,30.95423488
347,bbeafc08-5b62-4062-8073-ca4f4519df34,02/12/2024 18:52:40.245,kfh39602_USG,02/12/2024 18:52:40.245,kfh39602_USG,02/06/2024 20:26:53.863,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6085,Tortoise Burrow,,33,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.62720079,30.95460068
348,4cf5edd2-1ef0-4a81-bd50-a720de63f1cf,02/12/2024 18:52:40.825,kfh39602_USG,02/12/2024 18:52:40.825,kfh39602_USG,02/06/2024 20:30:35.946,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6086,Tortoise Burrow,,15,No,No,No,No,No,,Yes,,No,No,-81.62744004,30.95477785
349,c0b0715e-42db-4e35-b38b-246169969cf3,02/12/2024 18:52:41.382,kfh39602_USG,02/12/2024 18:52:41.382,kfh39602_USG,02/06/2024 20:40:12.010,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E6,,E6088,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,No,No,-81.6273462,30.9549453
350,b4fefb63-1b51-40c4-91ea-e03c061b9750,02/12/2024 18:52:42.168,kfh39602_USG,02/12/2024 18:52:42.168,kfh39602_USG,02/06/2024 20:54:24.913,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6089,Tortoise Burrow,,13,No,No,No,No,Yes,,Yes,,Yes,No,-81.62743404,30.95594113
351,3cdffa5b-b4b0-4bbe-ab5c-f4752ef45249,02/12/2024 18:52:42.765,kfh39602_USG,02/12/2024 18:52:42.765,kfh39602_USG,02/10/2024 17:10:52.635,"Eva_Kerr,Kristina_Hefferle_,other","Paul, Erin",Ceylon WMA,,I8,,I8008,Tortoise Burrow,,9,No,No,Yes,No,Yes,,Yes,,No,No,-81.58226594,30.94140279
352,7f9f261d-eafc-4267-9091-cb54b31f67de,02/12/2024 18:52:43.344,kfh39602_USG,02/12/2024 18:52:43.344,kfh39602_USG,02/10/2024 19:11:59.805,"Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8020,Tortoise Burrow,,33,No,No,No,No,Yes,Really well maintained ,Yes,,No,No,-81.58359928,30.94147202
353,ac590f45-42ae-4102-ba5e-fec904cd53c4,02/12/2024 18:52:44.037,kfh39602_USG,02/12/2024 18:52:44.037,kfh39602_USG,02/10/2024 20:20:21.787,"Kristina_Hefferle_,other,Eva_Kerr",Erin,Ceylon WMA,,I8,,I8031,Tortoise Burrow,,34,No,No,No,No,Yes,,Yes,,Yes,No,-81.58367038,30.94214703
354,2bf89538-a2a8-4dbc-b137-91319c6d2c60,02/12/2024 18:52:44.633,kfh39602_USG,02/12/2024 18:52:44.633,kfh39602_USG,02/10/2024 21:34:18.007,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8044,Tortoise Burrow,,23,No,No,No,No,Yes,,Yes,,Yes,No,-81.58275783,30.94108587
355,0f07b1d1-413c-4b08-a5ac-d1e5189d8b20,02/12/2024 18:52:45.153,kfh39602_USG,02/12/2024 18:52:45.153,kfh39602_USG,02/11/2024 15:19:07.690,"Kristina_Hefferle_,other",Paul Hassel,Ceylon WMA,,I8,,I8053,Tortoise Burrow,,10,No,No,No,No,No,Collapsed,Yes,,No,No,-81.58074398,30.94037043
356,487c9d3d-b6a7-4a30-a8b0-cdfa9e02fe85,02/12/2024 18:52:45.747,kfh39602_USG,02/12/2024 18:52:45.747,kfh39602_USG,02/11/2024 16:11:22.623,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,I8,,I8065,Tortoise Burrow,,30,No,No,Yes,No,Yes,,Yes,,No,No,-81.5790643,30.94111531
357,3bf72bfc-6399-46f3-98cf-b4540565cb04,02/12/2024 18:52:46.260,kfh39602_USG,02/12/2024 18:52:46.260,kfh39602_USG,02/11/2024 16:17:45.119,"Kristina_Hefferle_,other",Paul,Ceylon WMA,,I8,,I8067,Tortoise Burrow,,19,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.57951515,30.9411628
358,ad1d05be-e0ac-4c62-ba37-d9c74d0d01aa,02/12/2024 18:52:46.755,kfh39602_USG,02/12/2024 18:52:46.755,kfh39602_USG,02/11/2024 17:41:28.757,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8080,Tortoise Burrow,,36,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58126437,30.94066033
359,6e4a8f0e-e2d3-4474-b75a-a34dab72bccc,02/12/2024 18:52:47.374,kfh39602_USG,02/12/2024 18:52:47.374,kfh39602_USG,02/11/2024 17:55:25.700,"Kristina_Hefferle_,other",Paul Hassel ,Ceylon WMA,,I8,,I8085,Tortoise Burrow,,28,No,No,No,No,Yes,,Yes,,Yes,No,-81.58154915,30.94100761
360,38b5fff0-cfc9-45e0-9f3d-cc6ebcd0df50,02/12/2024 18:52:48.144,kfh39602_USG,02/12/2024 18:52:48.144,kfh39602_USG,02/11/2024 19:02:24.204,"Kristina_Hefferle_,Eva_Kerr,other","Paul Hassel, Erin Monroe ",Ceylon WMA,,I8,,I8091,Tortoise Burrow,,5,No,No,Yes,No,Yes,"Baby tortoise, should come back to scope this later ",Yes,,Yes,No,-81.58130653,30.94154139
361,a0e71f83-a684-4c07-ad9c-15aee8caf401,02/12/2024 18:52:48.710,kfh39602_USG,02/12/2024 18:52:48.710,kfh39602_USG,02/11/2024 19:36:24.116,"Kristina_Hefferle_,other",Paul Hassel ,Ceylon WMA,,I8,,I8097,Tortoise Burrow,,24,No,No,No,No,Yes,,Yes,,Yes,No,-81.58199029,30.94183069
362,cdd4748e-8b0e-4252-8e40-26f0365b6bc1,02/12/2024 18:52:49.324,kfh39602_USG,02/12/2024 18:52:49.324,kfh39602_USG,02/11/2024 19:43:24.227,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8098,Tortoise Burrow,,33,No,No,No,No,No,Goes nowhere ,Yes,,Yes,No,-81.58204984,30.94181922
363,e5f549b9-6cd3-4efb-9f60-5003c18dbbf3,02/12/2024 18:52:49.969,kfh39602_USG,02/12/2024 18:52:49.969,kfh39602_USG,02/11/2024 21:50:22.706,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,D8,,D8002,Tortoise Burrow,,20,No,No,No,No,No,Collapsed,Yes,,No,No,-81.63458748,30.94242507
364,f69b26c2-eb79-41ab-9bde-39e23dfeb6bd,02/12/2024 18:52:50.545,kfh39602_USG,02/12/2024 18:52:50.545,kfh39602_USG,02/12/2024 15:11:24.028,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7002,Tortoise Burrow,,34,No,No,No,No,Yes,,Yes,,No,No,-81.63014456,30.950771
365,ebc285e9-e3a7-4d94-b2af-a9b0c9c5724d,02/12/2024 18:52:51.199,kfh39602_USG,02/12/2024 18:52:51.199,kfh39602_USG,02/12/2024 15:36:34.393,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E7,,E7004,Tortoise Burrow,,16,No,No,No,No,No,Collapsed ,Yes,,No,No,-81.62998988,30.95080656
366,89bce625-fccd-4756-b038-e26bd8349735,02/12/2024 18:52:51.808,kfh39602_USG,02/12/2024 18:52:51.808,kfh39602_USG,02/12/2024 15:46:40.800,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7006,Tortoise Burrow,,27,No,No,No,No,Yes,,Yes,,No,No,-81.6298968,30.95073659
367,79b4d6ac-d119-4973-a1b2-d272b954e57b,02/12/2024 18:52:52.565,kfh39602_USG,02/12/2024 18:52:52.565,kfh39602_USG,02/12/2024 16:03:13.172,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7007,Tortoise Burrow,,22,No,No,No,No,No,Collapsed ,Yes,,Yes,No,-81.62997243,30.95045048
368,d91a3df3-db18-4037-a1e2-d6ffdf36379d,02/12/2024 18:52:53.315,kfh39602_USG,02/12/2024 18:52:53.315,kfh39602_USG,02/12/2024 16:06:23.204,Kristina_Hefferle_,,Ceylon WMA,,E7,,E7008,Tortoise Burrow,,23,No,No,No,No,No,Collapsed ,Yes,,Yes,No,-81.63008521,30.95042272
369,5950add9-9db0-46d2-bd5b-11db4feba7d9,02/12/2024 18:52:53.835,kfh39602_USG,02/12/2024 18:52:53.835,kfh39602_USG,02/12/2024 16:25:50.657,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E7,,E7010,Tortoise Burrow,,20,No,No,No,No,Yes,Water,Yes,,No,No,-81.62972429,30.95021031
370,28d9e69a-6596-4d68-885f-3a5bc850f8d1,02/12/2024 18:52:54.561,kfh39602_USG,02/12/2024 18:52:54.561,kfh39602_USG,02/12/2024 16:41:17.520,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E7,,E7011,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,No,No,-81.62971542,30.95018115
371,0f670df7-5f2c-43b2-a85c-d858f2eb1edf,02/12/2024 18:52:55.076,kfh39602_USG,02/12/2024 18:52:55.076,kfh39602_USG,02/12/2024 17:12:55.114,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E7,,E7019,Tortoise Burrow,,4,No,No,No,No,Yes,,Yes,,Yes,No,-81.62985486,30.9501381
372,88c7be9c-06b6-442b-947d-d0af440f167d,02/12/2024 18:52:55.711,kfh39602_USG,02/12/2024 18:52:55.711,kfh39602_USG,02/12/2024 17:24:40.765,Kristina_Hefferle_,,Ceylon WMA,,E7,,E7018,Tortoise Burrow,,15,No,No,No,No,No,Collapsed,Yes,,Yes,No,-81.62917702,30.94935153
373,5e9f89d6-1715-40e6-8ebb-3deb3ccc0f9b,02/12/2024 18:52:56.282,kfh39602_USG,02/12/2024 18:52:56.282,kfh39602_USG,02/12/2024 17:31:11.624,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7017,Tortoise Burrow,,7,No,No,Yes,No,Yes,,Yes,,No,No,-81.62919107,30.94921106
374,eee83e66-8bfb-44bf-a4a5-ec1873e564f3,02/12/2024 18:52:57.037,kfh39602_USG,02/12/2024 18:52:57.037,kfh39602_USG,02/12/2024 17:45:53.369,Kristina_Hefferle_,,Ceylon WMA,,E7,,E7014,Tortoise Burrow,,13,No,No,No,No,Yes,,Yes,,Yes,No,-81.62968909,30.9492831
375,8fedf3cc-5999-40ac-9735-e00f5252d740,03/14/2024 15:04:07.500,ek30648_USG,03/14/2024 15:04:07.500,ek30648_USG,02/12/2024 15:32:34.480,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7003,Tortoise Burrow,,15,No,No,No,No,Yes,Wet,Yes,,No,No,-81.63008843,30.95079966
376,cdb76edb-a026-4984-a02a-f825177f0952,03/14/2024 15:04:08.458,ek30648_USG,03/14/2024 15:04:08.458,ek30648_USG,02/12/2024 15:41:18.676,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7005,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,No,No,-81.63010143,30.95096011
377,6c721d1f-6e3f-499d-b712-817f2d74645b,03/14/2024 15:04:08.971,ek30648_USG,03/14/2024 15:04:08.971,ek30648_USG,02/12/2024 16:12:16.369,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7009,Tortoise Burrow,,14,No,No,No,No,Yes,,Yes,,Yes,No,-81.62992986,30.95031507
378,5afb31f1-ac5a-462c-b7be-02f9ddcd847b,03/14/2024 15:04:09.711,ek30648_USG,03/14/2024 15:04:09.711,ek30648_USG,02/12/2024 16:49:15.897,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7012,Tortoise Burrow,,14,No,No,No,No,Yes,Wet,Yes,,No,No,-81.62966213,30.94998739
379,df00ab25-d5d7-4581-a820-add9e8395cfc,03/14/2024 15:04:10.246,ek30648_USG,03/14/2024 15:04:10.246,ek30648_USG,02/12/2024 16:53:51.423,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E7,,E7013,Tortoise Burrow,,23,No,No,No,No,Yes,Wet,Yes,,No,No,-81.62962085,30.9499088
380,b61c1497-06bb-4cf3-948b-b9a017fbda84,03/14/2024 15:04:10.951,ek30648_USG,03/14/2024 15:04:10.951,ek30648_USG,02/12/2024 17:39:36.475,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E7,,E7016,Tortoise Burrow,,8,No,No,No,No,No,,Yes,,No,No,-81.62946974,30.94880194
381,d5b7027f-4765-4b75-ab01-36f9326fd080,03/14/2024 15:04:11.615,ek30648_USG,03/14/2024 15:04:11.615,ek30648_USG,02/12/2024 17:42:17.357,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E7,,E7015,Tortoise Burrow,,10,No,No,No,No,No,Collapsed ,Yes,,No,No,-81.62962463,30.94894203
382,0c240a54-476d-43bc-ac53-e4bacfe6afa5,03/14/2024 15:04:12.208,ek30648_USG,03/14/2024 15:04:12.208,ek30648_USG,02/12/2024 17:48:10.005,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E7,,E7020,Tortoise Burrow,,25,No,No,No,No,No,Water,Yes,,No,No,-81.63024802,30.94982227
383,098f83b6-0b97-47a3-8e68-cfb94534eba0,06/21/2024 22:08:27.028,ek30648_USG,06/21/2024 22:08:27.028,ek30648_USG,06/21/2024 17:00:02.388,"Eva_Kerr,Jade_Samples,Kristina_Hefferle_",,Ceylon WMA,,D7,,D7063,Tortoise Burrow,,8,No,No,No,No,Yes,,Yes,,Yes,No,-81.63454569,30.94525585
384,9ec08333-2fa2-472e-b6b3-3d9ac506c903,06/21/2024 22:08:27.983,ek30648_USG,06/21/2024 22:08:27.983,ek30648_USG,06/21/2024 17:02:44.920,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7064,Tortoise Burrow,,7,No,No,Yes,No,Yes,,Yes,,No,No,-81.63461276,30.94524082
385,31df40ec-2bcf-43f5-935e-d88e3d81755d,06/21/2024 22:08:28.904,ek30648_USG,06/21/2024 22:08:28.904,ek30648_USG,06/21/2024 17:03:42.033,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7065,Tortoise Burrow,,6,No,No,No,No,No,,Yes,,No,No,-81.6345812,30.94522817
386,070d3238-6106-45c0-80ee-5803f182fecb,06/21/2024 22:08:29.454,ek30648_USG,06/21/2024 22:08:29.454,ek30648_USG,06/21/2024 17:04:37.393,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7066,Tortoise Burrow,,5,No,No,Yes,No,Yes,,Yes,,No,No,-81.63454892,30.94523767
387,645efd75-3672-4608-935d-fc374cfc227b,06/21/2024 22:08:30.233,ek30648_USG,06/21/2024 22:08:30.233,ek30648_USG,06/21/2024 19:11:52.632,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,D7,,D7068,Tortoise Burrow,,5,No,No,No,No,Yes,Sharp turn,Yes,,No,No,-81.63193216,30.94811276
388,7eda2de6-6aca-4535-b114-faa15c3bac01,06/23/2024 04:36:21.203,ek30648_USG,06/23/2024 04:36:21.203,ek30648_USG,06/22/2024 14:04:25.823,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,H8,,H8008,Tortoise Burrow,,30,No,No,No,Yes,Yes,,Yes,,No,No,-81.59414294,30.94258971
389,15dc59c3-7663-4181-ace9-205c9eb4e681,06/23/2024 04:36:22.283,ek30648_USG,06/23/2024 04:36:22.283,ek30648_USG,06/22/2024 14:16:13.348,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,H8,,H8013,Tortoise Burrow,,25,No,No,Yes,No,Yes,,Yes,,No,No,-81.59423784,30.94272178
390,88dd1449-deb5-491c-a342-c85b3589ebd0,06/23/2024 04:36:22.924,ek30648_USG,06/23/2024 04:36:22.924,ek30648_USG,06/22/2024 14:21:44.716,Eva_Kerr,,Ceylon WMA,,H8,,H8014,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,Yes,No,-81.59376901,30.94257521
391,d5865280-d2ea-426b-a130-afb2f92c03a3,06/23/2024 04:36:23.531,ek30648_USG,06/23/2024 04:36:23.531,ek30648_USG,06/22/2024 14:24:10.530,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,H8,,H8016,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,No,-81.59359274,30.94243812
392,b67871c8-b266-440d-a2a4-d0c119ba5700,06/23/2024 04:36:24.084,ek30648_USG,06/23/2024 04:36:24.084,ek30648_USG,06/22/2024 14:42:36.872,"Kristina_Hefferle_,Eva_Kerr,Jade_Samples",,Ceylon WMA,,H8,,H8018,Tortoise Burrow,,32,No,Yes,No,Yes,Yes,,Yes,,Yes,No,-81.59364125,30.94232172
393,26036f9d-8c69-4902-9024-9dd56f1bbd41,06/23/2024 04:36:24.749,ek30648_USG,06/23/2024 04:36:24.749,ek30648_USG,06/22/2024 14:56:14.460,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,H8,,H8020,Tortoise Burrow,,12,No,No,No,No,Yes,,Yes,,No,No,-81.59363744,30.94230007
394,158864c9-f73a-47e6-b531-24ce5e8fc6ac,06/23/2024 04:36:25.645,ek30648_USG,06/23/2024 04:36:25.645,ek30648_USG,06/22/2024 14:59:49.549,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,H8,,H8021,other,Hole ,15,No,No,No,No,No,Narrow mouth ,Yes,,Yes,No,-81.59362849,30.94230385
395,b54a0216-9496-4a9a-b3e3-4ae0764a74d6,06/23/2024 04:36:26.630,ek30648_USG,06/23/2024 04:36:26.630,ek30648_USG,06/22/2024 15:17:31.658,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,H8,,H8022,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,Yes,No,-81.59388939,30.94311163
396,8c155761-baa2-4c96-84f1-a3d9b9b02970,06/24/2024 20:59:19.601,jas16028_USG,06/24/2024 20:59:19.601,jas16028_USG,06/22/2024 14:44:39.368,Jade_Samples,,Ceylon WMA,,H8,,19,Tortoise Burrow,,32,No,Yes,No,Yes,Yes,,Yes,,No,No,-81.59391118,30.94236184
397,69887d8e-45a9-45b7-9833-8c179fb4f176,06/24/2024 20:59:20.564,jas16028_USG,06/24/2024 20:59:20.564,jas16028_USG,06/22/2024 15:30:25.897,Jade_Samples,,Ceylon WMA,,H8,,23,Tortoise Burrow,,38,No,No,No,Yes,Yes,,Yes,,No,No,-81.59317938,30.94246089
398,4b467432-4a83-486d-82c3-237aa9a32add,06/24/2024 20:59:21.155,jas16028_USG,06/24/2024 20:59:21.155,jas16028_USG,06/22/2024 15:34:35.546,Jade_Samples,,Ceylon WMA,,H8,,24,Tortoise Burrow,,38,No,No,No,No,No,Burrow inactive ,Yes,,Yes,No,-81.59305315,30.94249686
399,6d882f8d-7e98-4f39-b02b-4753584613e9,06/24/2024 20:59:28.475,jas16028_USG,06/24/2024 20:59:28.475,jas16028_USG,06/22/2024 16:00:41.891,Jade_Samples,,Ceylon WMA,,H8,,26,Armadillo Burrow,,22,No,No,No,No,No,Got to back. ,Yes,,Yes,No,-81.59371592,30.94213607
400,d1a246f6-7c04-4a2c-ad7d-5870e6e5c9d0,06/24/2024 20:59:29.410,jas16028_USG,06/24/2024 20:59:29.410,jas16028_USG,06/22/2024 16:21:14.387,Jade_Samples,,Ceylon WMA,,H8,,001,Tortoise Burrow,,30,No,Yes,No,Yes,Yes,,Yes,Saw metamorph gopher 🐸 ,No,Yes,-81.59430439,30.94090161
401,dab9ca88-6e08-4485-a526-23175ca70625,06/24/2024 20:59:30.192,jas16028_USG,06/24/2024 20:59:30.192,jas16028_USG,06/22/2024 16:33:51.207,Jade_Samples,,Ceylon WMA,,H8,,028,Tortoise Burrow,,30,No,No,Yes,No,Yes,Couldn’t get to back. Good looking burrow,Yes,,No,No,-81.59417649,30.94057379
402,a5669059-1d7f-4cd2-944a-5f43ace41ac3,06/24/2024 20:59:30.779,jas16028_USG,06/24/2024 20:59:30.779,jas16028_USG,06/22/2024 16:38:26.718,"Jade_Samples,Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,H8,,028,Tortoise Burrow,,28,No,Yes,Yes,Yes,Yes,Saw frog. Possibly toad. Didn’t hop like a toad. ,Yes,,No,No,-81.59412809,30.94053608
403,eebd7936-5818-4c0d-8bd5-9c0dc40e5493,06/24/2024 20:59:31.416,jas16028_USG,06/24/2024 20:59:31.416,jas16028_USG,06/22/2024 16:45:34.289,Jade_Samples,,Ceylon WMA,,H8,,030,Tortoise Burrow,,35,No,No,No,No,No,,Yes,,Yes,No,-81.59407823,30.94028604
404,f29120a6-bb79-4baf-ae7a-f1273ef887a3,06/26/2024 18:17:04.641,kfh39602_USG,06/26/2024 18:17:04.641,kfh39602_USG,06/22/2024 13:56:05.591,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8007,Tortoise Burrow,,33,No,No,No,Yes,Yes,,Yes,,No,No,-81.59419317,30.94239789
405,64debd99-1ac2-45ad-9d12-e8f6d025fec6,06/26/2024 18:17:05.453,kfh39602_USG,06/26/2024 18:17:05.453,kfh39602_USG,06/22/2024 14:07:44.124,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8009,Tortoise Burrow,,7,No,No,Yes,No,No,,Yes,,No,Yes,-81.59428789,30.94257301
406,ca0eca7e-50bc-406b-99e8-065831a70527,06/26/2024 18:17:06.304,kfh39602_USG,06/26/2024 18:17:06.304,kfh39602_USG,06/22/2024 14:09:43.356,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8010,Tortoise Burrow,,7,No,No,No,No,No,,Yes,,Yes,No,-81.59396567,30.94250435
407,a165f54f-3545-463b-9820-c91635fe6748,06/26/2024 18:17:06.760,kfh39602_USG,06/26/2024 18:17:06.760,kfh39602_USG,06/22/2024 14:14:33.795,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8011,Tortoise Burrow,,10,No,No,Yes,No,No,,Yes,,Yes,No,-81.59394862,30.94262837
408,bd829569-deb6-4156-b17e-5d6c1408f567,06/26/2024 18:17:07.358,kfh39602_USG,06/26/2024 18:17:07.358,kfh39602_USG,06/22/2024 14:16:43.008,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8012,Tortoise Burrow,,28,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.59396141,30.94268944
409,ba5c3c0e-3a9f-49c8-8261-6c55a778e0e6,06/26/2024 18:17:08.049,kfh39602_USG,06/26/2024 18:17:08.049,kfh39602_USG,06/22/2024 14:22:36.651,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8015,Stump Hole,,15,No,No,No,No,No,,Yes,,Yes,No,-81.59376249,30.94255998
410,77f1c5e0-21a2-4bd6-b446-7269d95ba743,06/26/2024 18:17:08.605,kfh39602_USG,06/26/2024 18:17:08.605,kfh39602_USG,06/22/2024 14:29:16.531,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8017,Tortoise Burrow,,28,No,Yes,Yes,Yes,Yes,4 metamorphs in burrow ,Yes,,Yes,No,-81.59345384,30.94259597
411,ecbb4333-eb52-46e4-abf0-b40039534218,06/26/2024 18:17:09.127,kfh39602_USG,06/26/2024 18:17:09.127,kfh39602_USG,06/22/2024 15:45:10.268,Kristina_Hefferle_,,Ceylon WMA,,H8,,H8025,Tortoise Burrow,,27,No,No,No,No,No,,Yes,,Yes,No,-81.59306957,30.94267335
412,d7ce2d0a-c0b6-4135-b76a-8750460b6710,07/22/2024 01:00:14.761,ek30648_USG,07/22/2024 01:00:14.761,ek30648_USG,07/20/2024 13:17:25.427,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,D7,,D7069,Tortoise Burrow,,32,No,No,Yes,No,Yes,,Yes,,No,No,-81.63371409,30.94598677
413,fc1d364a-bc0f-43bb-b755-bf0353c65c3e,07/22/2024 01:00:15.800,ek30648_USG,07/22/2024 01:00:15.800,ek30648_USG,07/20/2024 13:20:40.864,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7070,Tortoise Burrow,,9,No,No,No,No,No,,Yes,,No,No,-81.63381663,30.94596159
414,6b86ee04-1d0b-469f-9804-b3acbd064460,07/22/2024 01:00:16.382,ek30648_USG,07/22/2024 01:00:16.382,ek30648_USG,07/20/2024 13:28:24.470,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7071,Tortoise Burrow,,4,No,No,No,No,No,,Yes,,Yes,No,-81.63469328,30.94530318
415,914337d0-10ac-4db5-98e8-0079d14a8227,07/22/2024 01:00:17.164,ek30648_USG,07/22/2024 01:00:17.164,ek30648_USG,07/20/2024 13:30:40.452,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7072,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,Yes,No,-81.63471055,30.94519904
416,73fe49a2-9004-4065-a1a3-46a10ce94cb0,07/22/2024 01:00:18.007,ek30648_USG,07/22/2024 01:00:18.007,ek30648_USG,7/20/24 13:32,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7073,Tortoise Burrow,,38,No,No,Yes,No,Yes,,Yes,,No,No,-81.63488668,30.94510842
